sentence,letter_count
"Now thousands of feet and bayonets
moved and halted at the officers’ command, turned with banners flying,
formed up at intervals, and wheeled round other similar masses of
infantry in different uniforms; now was heard the rhythmic beat of
hoofs and the jingling of showy cavalry in blue, red, and green braided
uniforms, with smartly dressed bandsmen in front mounted on black, roan,
or gray horses; then again, spreading out with the brazen clatter of the
polished shining cannon that quivered on the gun carriages and with
the smell of linstocks, came the artillery which crawled between the
infantry and cavalry and took up its appointed position.",650
"The
Russian expedition actually cost France less than fifty thousand men;
the Russian army in its retreat from Vílna to Moscow lost in the various
battles four times more men than the French army; the burning of Moscow
cost the lives of a hundred thousand Russians who died of cold and want
in the woods; finally, in its march from Moscow to the Oder the Russian
army also suffered from the severity of the season; so that by the time
it reached Vílna it numbered only fifty thousand, and at Kálisch less
than eighteen thousand.”

He imagined that the war with Russia came about by his will, and the
horrors that occurred did not stagger his soul.",647
"As long as
Nicholas alone was in danger the countess imagined that she loved her
first-born more than all her other children and even reproached herself
for it; but when her youngest: the scapegrace who had been bad at
lessons, was always breaking things in the house and making himself a
nuisance to everybody, that snub-nosed Pétya with his merry black eyes
and fresh rosy cheeks where soft down was just beginning to show—when
he was thrown amid those big, dreadful, cruel men who were fighting
somewhere about something and apparently finding pleasure in it—then
his mother thought she loved him more, much more, than all her other
children.",645
"A
drummer, their leader, turned round facing the singers, and flourishing
his arm, began a long-drawn-out soldiers’ song, commencing with the
words: “Morning dawned, the sun was rising,” and concluding: “On
then, brothers, on to glory, led by Father Kámenski.” This song had
been composed in the Turkish campaign and now being sung in Austria, the
only change being that the words “Father Kámenski” were replaced by
“Father Kutúzov.”

Having jerked out these last words as soldiers do and waved his arms
as if flinging something to the ground, the drummer—a lean, handsome
soldier of forty—looked sternly at the singers and screwed up his
eyes.",644
"During the few days he spent in
Moscow after the death of Count Bezúkhov, he would call Pierre, or
go to him himself, and tell him what ought to be done in a tone of
weariness and assurance, as if he were adding every time: “You know
I am overwhelmed with business and it is purely out of charity that
I trouble myself about you, and you also know quite well that what I
propose is the only thing possible.”

“Well, my dear fellow, tomorrow we are off at last,” said Prince
Vasíli one day, closing his eyes and fingering Pierre’s elbow,
speaking as if he were saying something which had long since been agreed
upon and could not now be altered.",644
"First she decided
not to come to the drawing room when he called to see her aunt—that it
would not be proper for her, in her deep mourning, to receive visitors;
then she thought this would be rude after what he had done for her; then
it occurred to her that her aunt and the governor’s wife had intentions
concerning herself and Rostóv—their looks and words at times seemed to
confirm this supposition—then she told herself that only she, with her
sinful nature, could think this of them: they could not forget that
situated as she was, while still wearing deep mourning, such matchmaking
would be an insult to her and to her father’s memory.",642
"The moment he heard the firing and the cry from behind, the general
realized that something dreadful had happened to his regiment, and the
thought that he, an exemplary officer of many years’ service who
had never been to blame, might be held responsible at headquarters
for negligence or inefficiency so staggered him that, forgetting the
recalcitrant cavalry colonel, his own dignity as a general, and above
all quite forgetting the danger and all regard for self-preservation, he
clutched the crupper of his saddle and, spurring his horse, galloped to
the regiment under a hail of bullets which fell around, but fortunately
missed him.",638
"From the twenty-sixth of August
to the second of September, that is from the battle of Borodinó to the
entry of the French into Moscow, during the whole of that agitating,
memorable week, there had been the extraordinary autumn weather that
always comes as a surprise, when the sun hangs low and gives more heat
than in spring, when everything shines so brightly in the rare clear
atmosphere that the eyes smart, when the lungs are strengthened and
refreshed by inhaling the aromatic autumn air, when even the nights
are warm, and when in those dark warm nights, golden stars startle and
delight us continually by falling from the sky.",635
"As
soon as he had seen a visitor off he returned to one of those who were
still in the drawing room, drew a chair toward him or her, and jauntily
spreading out his legs and putting his hands on his knees with the air
of a man who enjoys life and knows how to live, he swayed to and
fro with dignity, offered surmises about the weather, or touched on
questions of health, sometimes in Russian and sometimes in very bad but
self-confident French; then again, like a man weary but unflinching in
the fulfillment of duty, he rose to see some visitors off and, stroking
his scanty gray hairs over his bald patch, also asked them to dinner.",634
"Chichagóv, one of the most zealous “cutters-off” and “breakers-up,” who
had first wanted to effect a diversion in Greece and then in Warsaw but
never wished to go where he was sent: Chichagóv, noted for the boldness
with which he spoke to the Emperor, and who considered Kutúzov to be
under an obligation to him because when he was sent to make peace
with Turkey in 1811 independently of Kutúzov, and found that peace had
already been concluded, he admitted to the Emperor that the merit of
securing that peace was really Kutúzov’s; this Chichagóv was the first
to meet Kutúzov at the castle where the latter was to stay.",621
"When he listened to, or
himself took part in, trivial conversations, when he read or heard of
human baseness or folly, he was not horrified as formerly, and did
not ask himself why men struggled so about these things when all is so
transient and incomprehensible—but he remembered her as he had last
seen her, and all his doubts vanished—not because she had answered
the questions that had haunted him, but because his conception of her
transferred him instantly to another, a brighter, realm of spiritual
activity in which no one could be justified or guilty—a realm of beauty
and love which it was worth living for.",617
"“No, I can’t petition
him myself—that would be too bold.” But in spite of this he continued
to struggle desperately forward, and from between the backs of those
in front he caught glimpses of an open space with a strip of red cloth
spread out on it; but just then the crowd swayed back—the police
in front were pushing back those who had pressed too close to the
procession: the Emperor was passing from the palace to the Cathedral of
the Assumption—and Pétya unexpectedly received such a blow on his side
and ribs and was squeezed so hard that suddenly everything grew dim
before his eyes and he lost consciousness.",616
"The steward did not say it was quite impossible, but suggested selling
the forests in the province of Kostromá, the land lower down the river,
and the Crimean estate, in order to make it possible: all of which
operations according to him were connected with such complicated
measures—the removal of injunctions, petitions, permits, and so
on—that Pierre became quite bewildered and only replied:

“Yes, yes, do so.”

Pierre had none of the practical persistence that would have enabled him
to attend to the business himself and so he disliked it and only tried
to pretend to the steward that he was attending to it.",615
"But here was none of
all that turmoil of the world at large, where he did not know his right
place and took mistaken decisions; here was no Sónya with whom he
ought, or ought not, to have an explanation; here was no possibility of
going there or not going there; here there were not twenty-four hours
in the day which could be spent in such a variety of ways; there was not
that innumerable crowd of people of whom not one was nearer to him or
farther from him than another; there were none of those uncertain and
undefined money relations with his father, and nothing to recall that
terrible loss to Dólokhov.",610
"In spite of the
complaints of the French as to the nonobservance of the rules, in
spite of the fact that to some highly placed Russians it seemed rather
disgraceful to fight with a cudgel and they wanted to assume a pose en
quarte or en tierce according to all the rules, and to make an adroit
thrust en prime, and so on—the cudgel of the people’s war was lifted
with all its menacing and majestic strength, and without consulting
anyone’s tastes or rules and regardless of anything else, it rose and
fell with stupid simplicity, but consistently, and belabored the French
till the whole invasion had perished.",610
"If the whole activity of the leaders serves as the expression of
the people’s will, as some historians suppose, then all the details
of the court scandals contained in the biographies of a Napoleon or
a Catherine serve to express the life of the nation, which is evident
nonsense; but if it is only some particular side of the activity of an
historical leader which serves to express the people’s life, as other
so-called “philosophical” historians believe, then to determine which
side of the activity of a leader expresses the nation’s life, we have
first of all to know in what the nation’s life consists.",608
"Whether he accepted the wise
reasoning contained in the Mason’s words, or believed as a child
believes, in the speaker’s tone of conviction and earnestness, or
the tremor of the speaker’s voice—which sometimes almost broke—or
those brilliant aged eyes grown old in this conviction, or the calm
firmness and certainty of his vocation, which radiated from his whole
being (and which struck Pierre especially by contrast with his own
dejection and hopelessness)—at any rate, Pierre longed with his whole
soul to believe and he did believe, and felt a joyful sense of comfort,
regeneration, and return to life.",606
"Stein, a traitor expelled from his own country;
Armfeldt, a rake and an intriguer; Wintzingerode, a fugitive French
subject; Bennigsen, rather more of a soldier than the others, but all
the same an incompetent who was unable to do anything in 1807 and who
should awaken terrible memories in the Emperor Alexander’s mind....
Granted that were they competent they might be made use of,” continued
Napoleon—hardly able to keep pace in words with the rush of thoughts
that incessantly sprang up, proving how right and strong he was (in his
perception the two were one and the same)—“but they are not even that!",606
"On seeing
these peasants, who were evidently still amused by the novelty of their
position as soldiers, Pierre once more thought of the wounded men at
Mozháysk and understood what the soldier had meant when he said: “They
want the whole nation to fall on them.” The sight of these bearded
peasants at work on the battlefield, with their queer, clumsy boots
and perspiring necks, and their shirts opening from the left toward
the middle, unfastened, exposing their sunburned collarbones, impressed
Pierre more strongly with the solemnity and importance of the moment
than anything he had yet seen or heard.",605
"But as it is in no way proved that the aim of humanity does consist in
freedom, equality, enlightenment, or civilization, and as the connection
of the people with the rulers and enlighteners of humanity is only based
on the arbitrary assumption that the collective will of the people is
always transferred to the men whom we have noticed, it happens that the
activity of the millions who migrate, burn houses, abandon agriculture,
and destroy one another never is expressed in the account of the
activity of some dozen people who did not burn houses, practice
agriculture, or slay their fellow creatures.",604
"But not to speak of the intrinsic quality of histories of this kind
(which may possibly even be of use to someone for something) the
histories of culture, to which all general histories tend more and more
to approximate, are significant from the fact that after seriously
and minutely examining various religious, philosophic, and political
doctrines as causes of events, as soon as they have to describe an
actual historic event such as the campaign of 1812 for instance, they
involuntarily describe it as resulting from an exercise of power—and say
plainly that that was the result of Napoleon’s will.",603
"If men descended from the apes at an unknown period of time, that is
as comprehensible as that they were made from a handful of earth at a
certain period of time (in the first case the unknown quantity is the
time, in the second case it is the origin); and the question of how
man’s consciousness of freedom is to be reconciled with the law of
necessity to which he is subject cannot be solved by comparative
physiology and zoology, for in a frog, a rabbit, or an ape, we can
observe only the muscular nervous activity, but in man we observe
consciousness as well as the muscular and nervous activity.",601
"His conversation with Count Rostopchín and the latter’s tone of anxious
hurry, the meeting with the courier who talked casually of how badly
things were going in the army, the rumors of the discovery of spies in
Moscow and of a leaflet in circulation stating that Napoleon promised
to be in both the Russian capitals by the autumn, and the talk of the
Emperor’s being expected to arrive next day—all aroused with fresh force
that feeling of agitation and expectation in Pierre which he had been
conscious of ever since the appearance of the comet, and especially
since the beginning of the war.",594
"In Moscow as soon as he entered his huge house in which the faded and
fading princesses still lived, with its enormous retinue; as soon as,
driving through the town, he saw the Iberian shrine with innumerable
tapers burning before the golden covers of the icons, the Krémlin
Square with its snow undisturbed by vehicles, the sleigh drivers and
hovels of the Sívtsev Vrazhók, those old Moscovites who desired
nothing, hurried nowhere, and were ending their days leisurely; when he
saw those old Moscow ladies, the Moscow balls, and the English Club, he
felt himself at home in a quiet haven.",590
"And there will be two hundred thousand of them.”

And probably still more perturbed by the fact that he had uttered this
obvious falsehood, and that Balashëv still stood silently before him in
the same attitude of submission to fate, Napoleon abruptly turned
round, drew close to Balashëv’s face, and, gesticulating rapidly and
energetically with his white hands, almost shouted:

“Know that if you stir up Prussia against me, I’ll wipe it off the map
of Europe!” he declared, his face pale and distorted by anger, and he
struck one of his small hands energetically with the other.",581
"How sorry I am that he died, and how glad I am that he is alive
again!” On one side of the table sat Anatole, Dólokhov, Nesvítski,
Denísov, and others like them (in his dream the category to which these
men belonged was as clearly defined in his mind as the category of
those he termed they), and he heard those people, Anatole and Dólokhov,
shouting and singing loudly; yet through their shouting the voice of his
benefactor was heard speaking all the time and the sound of his words
was as weighty and uninterrupted as the booming on the battlefield, but
pleasant and comforting.",581
"Apart from the fact that he had asked me several
times whether N. and S. were members of our lodge (a question to which I
could not reply) and that according to my observation he is incapable of
feeling respect for our holy order and is too preoccupied and satisfied
with the outer man to desire spiritual improvement, I had no cause to
doubt him, but he seemed to me insincere, and all the time I stood
alone with him in the dark temple it seemed to me that he was smiling
contemptuously at my words, and I wished really to stab his bare breast
with the sword I held to it.",574
"“Please come and visit us... you know my brave boy... been together
out there... both playing the hero... Ah, Vasíli Ignátovich...
How d’ye do, old fellow?” he said, turning to an old man who was
passing, but before he had finished his greeting there was a general
stir, and a footman who had run in announced, with a frightened face:
“He’s arrived!”

Bells rang, the stewards rushed forward, and—like rye shaken together
in a shovel—the guests who had been scattered about in different rooms
came together and crowded in the large drawing room by the door of the
ballroom.",573
"With a facetious smile on his face, he was telling the ladies about last
Wednesday’s meeting of the Imperial Council, at which Sergéy Kuzmích
Vyazmítinov, the new military governor general of Petersburg, had
received and read the then famous rescript of the Emperor Alexander
from the army to Sergéy Kuzmích, in which the Emperor said that he was
receiving from all sides declarations of the people’s loyalty, that
the declaration from Petersburg gave him particular pleasure, and that
he was proud to be at the head of such a nation and would endeavor to be
worthy of it.",572
"CHAPTER IX

Pursued by the French army of a hundred thousand men under the command
of Bonaparte, encountering a population that was unfriendly to it,
losing confidence in its allies, suffering from shortness of supplies,
and compelled to act under conditions of war unlike anything that had
been foreseen, the Russian army of thirty-five thousand men commanded
by Kutúzov was hurriedly retreating along the Danube, stopping where
overtaken by the enemy and fighting rearguard actions only as far as
necessary to enable it to retreat without losing its heavy equipment.",568
"Officially, at large
gatherings, everyone said that Countess Bezúkhova had died of a
terrible attack of angina pectoris, but in intimate circles details
were mentioned of how the private physician of the Queen of Spain had
prescribed small doses of a certain drug to produce a certain effect;
but Hélène, tortured by the fact that the old count suspected her and
that her husband to whom she had written (that wretched, profligate
Pierre) had not replied, had suddenly taken a very large dose of the
drug, and had died in agony before assistance could be rendered her.",568
"For the fact that, from the point of view of
observation, reason and the will are merely secretions of the brain, and
that man following the general law may have developed from lower animals
at some unknown period of time, only explains from a fresh side
the truth admitted thousands of years ago by all the religious and
philosophic theories—that from the point of view of reason man is
subject to the law of necessity; but it does not advance by a hair’s
breadth the solution of the question, which has another, opposite, side,
based on the consciousness of freedom.",568
"But just as the force of gravitation, incomprehensible in itself but
felt by every man, is understood by us only to the extent to which we
know the laws of inevitability to which it is subject (from the first
knowledge that all bodies have weight, up to Newton’s law), so too the
force of free will, incomprehensible in itself but of which everyone is
conscious, is intelligible to us only in as far as we know the laws of
inevitability to which it is subject (from the fact that every man dies,
up to the knowledge of the most complex economic and historic laws).",564
"When he heard these words and saw the expression of firm resolution in
the Emperor’s eyes, Michaud—quoique étranger, russe de cœur et d’âme,—at
that solemn moment felt himself enraptured by all that he had heard (as
he used afterwards to say), and gave expression to his own feelings and
those of the Russian people whose representative he considered himself
to be, in the following words:

“Sire!” said he, “Your Majesty is at this moment signing the glory of
the nation and the salvation of Europe!”

With an inclination of the head the Emperor dismissed him.",561
"It may seem
to be a matter of indifference whether we understand the meaning of
historical events this way or that; yet there is the same difference
between a man who says that the people of the West moved on the East
because Napoleon wished it and a man who says that this happened because
it had to happen, as there is between those who declared that the
earth was stationary and that the planets moved round it and those who
admitted that they did not know what upheld the earth, but knew there
were laws directing its movement and that of the other planets.",561
"He
did not, for instance, say to himself: “This man now has influence, I
must gain his confidence and friendship and through him obtain a special
grant.” Nor did he say to himself: “Pierre is a rich man, I must
entice him to marry my daughter and lend me the forty thousand rubles
I need.” But when he came across a man of position his instinct
immediately told him that this man could be useful, and without any
premeditation Prince Vasíli took the first opportunity to gain his
confidence, flatter him, become intimate with him, and finally make his
request.",560
"She realized that if she said a word about his not
going to the battle (she knew he enjoyed the thought of the impending
engagement) he would say something about men, honor, and the
fatherland—something senseless, masculine, and obstinate which there
would be no contradicting, and her plans would be spoiled; and so,
hoping to arrange to leave before then and take Pétya with her as their
protector and defender, she did not answer him, but after dinner called
the count aside and implored him with tears to take her away quickly,
that very night if possible.",560
"From the battlefield adjutants he had sent out, and orderlies from his
marshals, kept galloping up to Napoleon with reports of the progress
of the action, but all these reports were false, both because it was
impossible in the heat of battle to say what was happening at any given
moment and because many of the adjutants did not go to the actual place
of conflict but reported what they had heard from others; and also
because while an adjutant was riding more than a mile to Napoleon
circumstances changed and the news he brought was already becoming
false.",559
"Having crossed over, by a forced
march, to the Túla road beyond the Pakhrá, the Russian commanders
intended to remain at Podólsk and had no thought of the Tarútino
position; but innumerable circumstances and the reappearance of French
troops who had for a time lost touch with the Russians, and projects
of giving battle, and above all the abundance of provisions in Kalúga
province, obliged our army to turn still more to the south and to cross
from the Túla to the Kalúga road and go to Tarútino, which was between
the roads along which those supplies lay.",558
"Pierre wished to
make a remark, for the conversation interested him, but Anna Pávlovna,
who had him under observation, interrupted:

“The Emperor Alexander,” said she, with the melancholy which
always accompanied any reference of hers to the Imperial family, “has
declared that he will leave it to the French people themselves to choose
their own form of government; and I believe that once free from the
usurper, the whole nation will certainly throw itself into the arms
of its rightful king,” she concluded, trying to be amiable to the
royalist emigrant.",557
"Suddenly and simultaneously a crowd of memories awoke in his fancy—of
the look Platón had given him as he sat under the tree, of the shot
heard from that spot, of the dog’s howl, of the guilty faces of the two
Frenchmen as they ran past him, of the lowered and smoking gun, and of
Karatáev’s absence at this halt—and he was on the point of realizing
that Karatáev had been killed, but just at that instant, he knew not
why, the recollection came to his mind of a summer evening he had spent
with a beautiful Polish lady on the veranda of his house in Kiev.",556
"Their theory, suitable for primitive and peaceful periods of history,
has the inconvenience—in application to complex and stormy periods in
the life of nations during which various powers arise simultaneously and
struggle with one another—that a Legitimist historian will prove
that the National Convention, the Directory, and Bonaparte were mere
infringers of the true power, while a Republican and a Bonapartist will
prove: the one that the Convention and the other that the Empire was the
real power, and that all the others were violations of power.",553
"But let us assume that what is called science can harmonize all
contradictions and possesses an unchanging standard of good and bad by
which to try historic characters and events; let us say that Alexander
could have done everything differently; let us say that with guidance
from those who blame him and who profess to know the ultimate aim of the
movement of humanity, he might have arranged matters according to
the program his present accusers would have given him—of nationality,
freedom, equality, and progress (these, I think, cover the ground).",552
"“Mais, ma bonne amie,” said Prince Andrew, “vous devriez au
contraire m’être reconnaissante de ce que j’explique à Pierre
votre intimité avec ce jeune homme.” *

     * “But, my dear, you ought on the contrary to be grateful to
     me for explaining to Pierre your intimacy with this young
     man.”


“Really?” said Pierre, gazing over his spectacles with curiosity and
seriousness (for which Princess Mary was specially grateful to him) into
Ivánushka’s face, who, seeing that she was being spoken about, looked
round at them all with crafty eyes.",551
"I am her father.”

Six weeks after Anna Pávlovna’s “At Home” and after the sleepless
night when he had decided that to marry Hélène would be a calamity and
that he ought to avoid her and go away, Pierre, despite that decision,
had not left Prince Vasíli’s and felt with terror that in people’s
eyes he was every day more and more connected with her, that it was
impossible for him to return to his former conception of her, that he
could not break away from her, and that though it would be a terrible
thing he would have to unite his fate with hers.",550
"They began as
follows:

“As the enemy’s left wing rests on wooded hills and his right
extends along Kobelnitz and Sokolnitz behind the ponds that are there,
while we, on the other hand, with our left wing by far outflank his
right, it is advantageous to attack the enemy’s latter wing especially
if we occupy the villages of Sokolnitz and Kobelnitz, whereby we
can both fall on his flank and pursue him over the plain between
Schlappanitz and the Thuerassa forest, avoiding the defiles of
Schlappanitz and Bellowitz which cover the enemy’s front.",546
"“The Emperor of Austria can never have
thought of such a thing, it is only the cabinet that says it.”

“Ah, my dear vicomte,” put in Anna Pávlovna, “L’Urope” (for
some reason she called it Urope as if that were a specially refined
French pronunciation which she could allow herself when conversing with
a Frenchman), “L’Urope ne sera jamais notre alliée sincère.” *

    * “Europe will never be our sincere ally.”


After that Anna Pávlovna led up to the courage and firmness of the King
of Prussia, in order to draw Borís into the conversation.",545
"There were
never many people in the church; Natásha always stood beside Belóva in
the customary place before an icon of the Blessed Virgin, let into the
screen before the choir on the left side, and a feeling, new to her, of
humility before something great and incomprehensible, seized her when
at that unusual morning hour, gazing at the dark face of the Virgin
illuminated by the candles burning before it and by the morning light
falling from the window, she listened to the words of the service which
she tried to follow with understanding.",544
"When he saw the first hussar with the unbuttoned uniform
of his regiment, when he recognized red-haired Deméntyev and saw the
picket ropes of the roan horses, when Lavrúshka gleefully shouted to
his master, “The count has come!” and Denísov, who had been asleep
on his bed, ran all disheveled out of the mud hut to embrace him,
and the officers collected round to greet the new arrival, Rostóv
experienced the same feeling as when his mother, his father, and his
sister had embraced him, and tears of joy choked him so that he could
not speak.",543
"“General Kutúzov,” said Bolkónski, speaking French and stressing
the last syllable of the general’s name like a Frenchman, “has been
pleased to take me as an aide-de-camp....”

“And Lise, your wife?”

“She will go to the country.”

“Are you not ashamed to deprive us of your charming wife?”

“André,” said his wife, addressing her husband in the same
coquettish manner in which she spoke to other men, “the vicomte has
been telling us such a tale about Mademoiselle George and Buonaparte!”

Prince Andrew screwed up his eyes and turned away.",541
"It appeared
that the princess’ offer of corn to the peasants the previous day, and
her talk with Dron and at the meeting, had actually had so bad an effect
that Dron had finally given up the keys and joined the peasants and had
not appeared when Alpátych sent for him; and that in the morning when
the princess gave orders to harness for her journey, the peasants had
come in a large crowd to the barn and sent word that they would not let
her leave the village: that there was an order not to move, and that
they would unharness the horses.",541
"Others have disgraced themselves to the extent of disobeying
sentinels and officers, and have abused and beaten them.”

“The Grand Marshal of the palace,” wrote the governor, “complains
bitterly that in spite of repeated orders, the soldiers continue to
commit nuisances in all the courtyards and even under the very windows
of the Emperor.”

That army, like a herd of cattle run wild and trampling underfoot the
provender which might have saved it from starvation, disintegrated and
perished with each additional day it remained in Moscow.",540
"With a sinking heart he watched
Dólokhov’s hands and thought, “Now then, make haste and let me have
this card and I’ll take my cap and drive home to supper with Denísov,
Natásha, and Sónya, and will certainly never touch a card again.” At
that moment his home life, jokes with Pétya, talks with Sónya, duets
with Natásha, piquet with his father, and even his comfortable bed
in the house on the Povarskáya rose before him with such vividness,
clearness, and charm that it seemed as if it were all a lost and
unappreciated bliss, long past.",539
"Various
obscure rumors were always current among them: at one time a rumor that
they would all be enrolled as Cossacks; at another of a new religion to
which they were all to be converted; then of some proclamation of the
Tsar’s and of an oath to the Tsar Paul in 1797 (in connection with which
it was rumored that freedom had been granted them but the landowners had
stopped it), then of Peter Fëdorovich’s return to the throne in seven
years’ time, when everything would be made free and so “simple” that
there would be no restrictions.",538
"Not expecting to come on the enemy down by the stream, and having
stumbled on him in the fog, hearing no encouraging word from their
commanders, and with a consciousness of being too late spreading through
the ranks, and above all being unable to see anything in front or around
them in the thick fog, the Russians exchanged shots with the enemy
lazily and advanced and again halted, receiving no timely orders from
the officers or adjutants who wandered about in the fog in those unknown
surroundings unable to find their own regiments.",537
"The thought immediately occurred to him that his
promise to Prince Andrew was of no account, because before he gave it
he had already promised Prince Anatole to come to his gathering;
“besides,” thought he, “all such ‘words of honor’ are
conventional things with no definite meaning, especially if
one considers that by tomorrow one may be dead, or something so
extraordinary may happen to one that honor and dishonor will be all the
same!” Pierre often indulged in reflections of this sort, nullifying
all his decisions and intentions.",536
"It was much
later, when reports on the battle of Borodinó were written at leisure,
that the incorrect and extraordinary statement was invented (probably to
justify the mistakes of a commander in chief who had to be represented
as infallible) that the Shevárdino Redoubt was an advanced post—whereas
in reality it was simply a fortified point on the left flank—and that
the battle of Borodinó was fought by us on an entrenched position
previously selected, whereas it was fought on a quite unexpected spot
which was almost unentrenched.",535
"“Cependant, mon cher,” he remarked, examining his nails from a
distance and puckering the skin above his left eye, “malgré la haute
estime que je professe pour the Orthodox Russian army, j’avoue que
votre victoire n’est pas des plus victorieuses.” *

     * “But my dear fellow, with all my respect for the Orthodox
     Russian army, I must say that your victory was not
     particularly victorious.”


He went on talking in this way in French, uttering only those words in
Russian on which he wished to put a contemptuous emphasis.",534
"The battle of Borodinó was not
fought on a chosen and entrenched position with forces only slightly
weaker than those of the enemy, but, as a result of the loss of the
Shevárdino Redoubt, the Russians fought the battle of Borodinó on an
open and almost unentrenched position, with forces only half as numerous
as the French; that is to say, under conditions in which it was not
merely unthinkable to fight for ten hours and secure an indecisive
result, but unthinkable to keep an army even from complete
disintegration and flight.",530
"The
Emperor Napoleon burns with impatience to make Prince Auersperg’s
acquaintance.’ In a word, those gentlemen, Gascons indeed, so
bewildered him with fine words, and he is so flattered by his rapidly
established intimacy with the French marshals, and so dazzled by the
sight of Murat’s mantle and ostrich plumes, qu’il n’y voit que du
feu, et oublie celui qu’il devait faire faire sur l’ennemi!” *(2)
In spite of the animation of his speech, Bilíbin did not forget to
pause after this mot to give time for its due appreciation.",529
"But still, as
he did not see him and had no opportunity of seeing him, he often spoke
about him and about his love for him, letting it be understood that he
had not told all and that there was something in his feelings for the
Emperor not everyone could understand, and with his whole soul he shared
the adoration then common in Moscow for the Emperor, who was spoken of
as the “angel incarnate.”

During Rostóv’s short stay in Moscow, before rejoining the army, he
did not draw closer to Sónya, but rather drifted away from her.",529
"Though the
troops were ill-clad, exhausted, and had lost a third of their number
in killed, wounded, sick, and stragglers; though a number of sick and
wounded had been abandoned on the other side of the Danube with a letter
in which Kutúzov entrusted them to the humanity of the enemy; and
though the big hospitals and the houses in Krems converted into military
hospitals could no longer accommodate all the sick and wounded, yet the
stand made at Krems and the victory over Mortier raised the spirits of
the army considerably.",528
"“But I have promised and will do it
for your sake.”

Although the hall porter saw someone’s carriage standing at the
entrance, after scrutinizing the mother and son (who without asking to
be announced had passed straight through the glass porch between the
rows of statues in niches) and looking significantly at the lady’s old
cloak, he asked whether they wanted the count or the princesses, and,
hearing that they wished to see the count, said his excellency was worse
today, and that his excellency was not receiving anyone.",527
